name,compressibility,SMILES,density
acetic_acid,8.884501480750248e-05,CC(O)=O,1049.0
acetone,0.000123395853899309,CC(C)=O,784.5
aniline,4.442250740375124e-05,c1ccc(cc1)N,1030.0
benzene,9.378084896347484e-05,c1ccccc1,877.0
n-butyl_alcohol,9.378084896347484e-05,OCCCC,810.0
carbon_disulfide,9.378084896347484e-05,S=C=S,1293.0
carbon_tetrachloride,0.00010463968410661403,ClC(Cl)(Cl)Cl,1587.0
chloroform,9.871668311944721e-05,ClC(Cl)Cl,1490.0
dodecane,8.884501480750248e-05,CCCCCCCCCCCC,750.0
ethanol,0.00011253701875616982,OCC,789.5
ethyl_ether,0.00018756169792694967,CCOCC,713.4
glycerol,2.4679170779861802e-05,OCC(O)CO,1261.0
n-heptane,0.00013820335636722608,CCCCCCC,679.5
n-hexane,0.00015794669299111554,CCCCCC,660.6
methanol,3.9486673247778884e-05,CO,792.0
n-octane,0.00011846001974333665,CCCCCCCC,703.0
phenol,0.00011846001974333665,Oc1ccccc1,1070.0
n-propyl_alcohol,8.884501480750248e-05,CC(O)C,786.0
toluene,8.884501480750248e-05,Cc1ccccc1,862.3
water,4.540967423494571e-05,OH2,999.0
m-xylene,7.897334649555777e-05,Cc1cccc(c1)C,860.0
